paraphrase_pair_id	Short Utterance (1)	Short Utterance (2)	Exact_paraphrase_or_not(1)	Exact_paraphrase_or_not(2)	Both annotations are same	Either annotated ‘yes’
380	corpus you get that humid salty feeling in the air	you get that humid feeling in the air	n	n	1	0
381	theres a salty feeling in the air	you get that humid feeling in the air	n	n	1	0
382	have you crocheted or knitted any baby clothes or baby blankets	have you knitted or crocheted baby clothes	n	n	1	0
383	have you crocheted or knitted any baby clothes or baby blankets	have you made baby clothes or blankets	y	y	1	1
384	have you knitted or crocheted baby clothes	have you made baby clothes or blankets	n	n	1	0
385	i do have to get cash out of the bank	i have to get money out of the bank	y	y	1	1
386	i do have to get cash out of the bank	i have to withdraw money from the bank	y	y	1	1
387	i have to get money out of the bank	i have to withdraw money from the bank	y	y	1	1
388	i do know that their job would be at risk	i am aware that their job would be at risk	y	y	1	1
389	i am aware that their job would be at risk	i know their job is at risk	n	n	1	0
390	i do know that their job would be at risk	i know their job is at risk	n	n	1	0
391	i glad i never had to do it by giving blood	i never had to give blood for it to happen	y	n	0	1
392	i glad i never had to do it by giving blood	i never had to give blood in order to do it	n	y	0	1
393	i never had to give blood for it to happen	i never had to give blood in order to do it	y	y	1	1
394	i have a seven year old and a ten year old	i have two children a seven and ten year old	y	n	0	1
395	i have a seven year old and a ten year old	i have two kids a seven year old and a ten year old	y	n	0	1
396	i have two children a seven and ten year old	i have two kids a seven year old and a ten year old	y	y	1	1
397	i have to admit that one of my favorite places to shop	one of my favorite places to shop	y	n	0	1
398	i have to admit that one of my favorite places to shop	one of my favorites is that place to shop	n	n	1	0
399	one of my favorite places to shop	one of my favorites is that place to shop	n	n	1	0
400	i heard on the radio it was thousand and change a month	i heard it was thousand and change a month	n	n	1	0
401	i heard it was thousand and change a month	it was thousand and change a month	y	n	0	1
402	i heard on the radio it was thousand and change a month	it was thousand and change a month	n	n	1	0
403	i just kind of join up when it something interesting	i join up when its something interesting	y	y	1	1
404	i join up when its something interesting	when its something interesting i join up	y	y	1	1
405	i just kind of join up when it something interesting	when its something interesting i join up	y	y	1	1
406	i never read a whole one of hers i do think	i dont think i ever read a full one of hers	y	y	1	1
407	i dont think i ever read a full one of hers	i think i never read a whole one of hers	y	y	1	1
408	i never read a whole one of hers i do think	i think i never read a whole one of hers	y	y	1	1
409	i think it hard to find a good day care	i think its difficult to find a good day care	y	y	1	1
410	i think it hard to find a good day care	its hard to find good day care	y	n	0	1
411	i think its difficult to find a good day care	its hard to find good day care	y	n	0	1
412	anyway we both sort of agree on it do we	we agree on it do we	y	n	0	1
413	anyway we both sort of agree on it do we	we sort of agree on it	n	n	1	0
414	we agree on it do we	we sort of agree on it	n	n	1	0
415	it doesnt hurt to have a good understanding of law	it doesnt hurt to have some kind of legal education	n	n	1	0
416	it never hurts to have some kind of a grounding in law	it doesnt hurt to have a good understanding of law	y	n	0	1
417	it never hurts to have some kind of a grounding in law	it doesnt hurt to have some kind of legal education	y	n	0	1
418	for a long time my mother was a teacher	my mother was a teacher for many years	y	y	1	1
419	my mother was is was teacher for years and years	for a long time my mother was a teacher	y	y	1	1
420	my mother was is was teacher for years and years	my mother was a teacher for many years	y	y	1	1
421	it should be too much trouble for us	that is too much trouble for the two of us	y	n	0	1
422	that should be too much trouble for the two of us right	it should be too much trouble for us	y	n	0	1
423	that should be too much trouble for the two of us right	that is too much trouble for the two of us	y	n	0	1
424	some of those books are real tough to get into	its difficult to get into some of those books	y	y	1	1
425	its difficult to get into some of those books	the books are difficult to get into	n	n	1	0
426	some of those books are real tough to get into	the books are difficult to get into	n	y	0	1
427	that they have all these after school activities for kids	they have after school activities for children	y	n	0	1
428	that they have all these after school activities for kids	they have after school activities for kids	y	n	0	1
429	they have after school activities for children	they have after school activities for kids	y	y	1	1
430	if you made under a certain amount you would owe taxes	those who made under a certain amount would have to pay taxes	y	y	1	1
431	those who made under a certain amount would owe any taxes	if you made under a certain amount you would owe taxes	y	y	1	1
432	those who made under a certain amount would owe any taxes	those who made under a certain amount would have to pay taxes	y	y	1	1
433	these people shouldnt ever get out on the street	these people will not be able to get out on the street	y	n	0	1
434	to prevent these people from ever getting out on the street	these people shouldnt ever get out on the street	n	n	1	0
435	to prevent these people from ever getting out on the street	these people will not be able to get out on the street	n	n	1	0
436	we did have a solar water heater when we lived in houston	when we lived in houston we had a solar water heater	y	y	1	1
437	we did have a solar water heater when we lived in houston	when we lived in houston we had a solar water tank	n	y	0	1
438	when we lived in houston we had a solar water heater	when we lived in houston we had a solar water tank	n	n	1	0
439	what do you think going to happen to the rangers	what are you thinking about the rangers	n	n	1	0
440	what are you thinking about the rangers	what do you think will happen to the rangers	n	n	1	0
441	what do you think going to happen to the rangers	what do you think will happen to the rangers	y	y	1	1
442	what limits ought to be put on it do you think	what limits should be placed on it	y	n	0	1
443	what limits ought to be put on it do you think	what limits should be put on it	y	n	0	1
444	what limits should be placed on it	what limits should be put on it	y	y	1	1
445	do you live in plano or work in plano or both	do you work in or live in plano	y	y	1	1
446	do you live in plano or work in plano or both	do you work in plano or live there	n	y	0	1
447	do you work in or live in plano	do you work in plano or live there	y	y	1	1
448	add different blouses and scarves and belts and things like that	add scarves and belts and different things	n	y	0	1
449	add different blouses and scarves and belts and things like that	things like scarves and belts are added	n	n	1	0
450	add scarves and belts and different things	things like scarves and belts are added	y	n	0	1
451	i always have my head with a magazine somewhere as we	i always have a magazine with me wherever	n	n	1	0
452	i always have a magazine with me wherever	my head is always with a magazine	n	n	1	0
453	i always have my head with a magazine somewhere as we	my head is always with a magazine	y	y	1	1
454	i had a dryer an ice maker a microwave all three	i owned a dryer ice maker and microwave	y	y	1	1
455	i had a dryer an ice maker a microwave all three	i used a dryer ice maker and microwave	n	n	1	0
456	i owned a dryer ice maker and microwave	i used a dryer ice maker and microwave	n	n	1	0
457	and not just taking the money but beating them half to death	taking money but beating them to death	y	y	1	1
458	and not just taking the money but beating them half to death	taking the money but beating them to death	n	y	0	1
459	taking money but beating them to death	taking the money but beating them to death	n	y	0	1
460	i did the paper work but never made the call	i put in the paper work but never called	n	n	1	0
461	i put in the paper work i just never made the call	i did the paper work but never made the call	y	n	0	1
462	i put in the paper work i just never made the call	i put in the paper work but never called	n	n	1	0
463	i think we try to do something a little bit	i think we attempt to do something	n	y	0	1
464	i think we attempt to do something	we try to do something small	n	n	1	0
465	i think we try to do something a little bit	we try to do something small	n	n	1	0
466	and strawberries and bananas and whatever fresh fruit you want	strawberries bananas whatever fresh fruit you want	y	y	1	1
467	and strawberries and bananas and whatever fresh fruit you want	you can have strawberries bananas or whatever fresh fruit you want	y	y	1	1
468	strawberries bananas whatever fresh fruit you want	you can have strawberries bananas or whatever fresh fruit you want	n	y	0	1
469	i was going to ask you if you mix it to taste	i was going to ask you to mix it	n	n	1	0
470	i was going to say do you just mix it to taste	i was going to ask you if you mix it to taste	y	y	1	1
471	i was going to say do you just mix it to taste	i was going to ask you to mix it	n	n	1	0
472	about ten or fifteen years ago	i would say about fifteen years ago	n	n	1	0
473	i would say about ten or fifteen years ago i	about ten or fifteen years ago	y	y	1	1
474	i would say about ten or fifteen years ago i	i would say about fifteen years ago	y	n	0	1
475	if they are losing money then they going to raise rates	if they are losing money then they will raise rates	y	y	1	1
476	if they are losing money then they going to raise rates	if they are losing money they will raise rates	y	y	1	1
477	if they are losing money then they will raise rates	if they are losing money they will raise rates	y	y	1	1
478	i can still remember a couple of them	i can still remember a few	y	y	1	1
479	in fact i can still remember a couple of those	i can still remember a couple of them	y	y	1	1
480	in fact i can still remember a couple of those	i can still remember a few	y	y	1	1
481	it did seem like there was much coverage of the story	it appeared that there was a lot of coverage of the story	y	y	1	1
482	it appeared that there was a lot of coverage of the story	it seemed like there was a lot of coverage of the story	y	y	1	1
483	it did seem like there was much coverage of the story	it seemed like there was a lot of coverage of the story	y	y	1	1
484	it green with all the trees and things out here	its green with all the trees outside	n	y	0	1
485	it green with all the trees and things out here	its green with the trees and things	y	n	0	1
486	its green with all the trees outside	its green with the trees and things	n	n	1	0
487	much as other cultures disagree our lives do revolve around our children	our lives are more about our children than other cultures agree	y	y	1	1
488	much as other cultures disagree our lives do revolve around our children	our lives do depend on our children	n	n	1	0
489	our lives are more about our children than other cultures agree	our lives do depend on our children	n	n	1	0
490	they do really pay a whole lot of attention to buffers	they pay a lot of attention to buffer levels	y	y	1	1
491	they do really pay a whole lot of attention to buffers	they really pay attention to the buffer	y	y	1	1
492	they pay a lot of attention to buffer levels	they really pay attention to the buffer	y	n	0	1
493	this was before i lost a lot more of my family	this was before i lost a lot of people	y	y	1	1
494	this was before i lost a lot more of my family	this was before i lost more of my family	y	y	1	1
495	this was before i lost a lot of people	this was before i lost more of my family	n	n	1	0
496	we got two great big windows in our back bathroom	our bathroom has two big windows	y	n	0	1
497	our bathroom has two big windows	we have two big windows in our bathroom	y	y	1	1
498	we got two great big windows in our back bathroom	we have two big windows in our bathroom	y	n	0	1
499	i assume you were talking about the new ninja turtles	i assume you are talking about the new turtles	y	n	0	1
500	i assume you are talking about the new turtles	i assume you were talking about the turtles	n	y	0	1
501	i assume you were talking about the new ninja turtles	i assume you were talking about the turtles	n	n	1	0
502	a lot of people like to go down and camp down inside	a lot of people like to camp inside	n	y	0	1
503	a lot of people like to camp inside	many people like to camp inside	y	y	1	1
504	a lot of people like to go down and camp down inside	many people like to camp inside	n	n	1	0
505	i got a lot of things to keep me busy	i have many things to keep me busy	y	y	1	1
506	i got a lot of things to keep me busy	there are a lot of things i need to keep busy	n	n	1	0
507	i have many things to keep me busy	there are a lot of things i need to keep busy	n	n	1	0
508	about the only thing i really recycle around here is aluminum cans	i only recycle aluminum cans	y	y	1	1
509	about the only thing i really recycle around here is aluminum cans	i recycle aluminum cans	n	n	1	0
510	i only recycle aluminum cans	i recycle aluminum cans	n	n	1	0
511	i disagree with most people	i have an opposite opinion of most people	y	y	1	1
512	i have kind of the opposite opinion of most people	i disagree with most people	y	y	1	1
513	i have kind of the opposite opinion of most people	i have an opposite opinion of most people	y	y	1	1
514	i think that kind of when my husband hit the roof	i think that happened when my husband hit the roof	n	n	1	0
515	i think that happened when my husband hit the roof	i think that when my husband hit the roof	n	n	1	0
516	i think that kind of when my husband hit the roof	i think that when my husband hit the roof	y	y	1	1
517	i try to catch whoever in town	i usually try to catch someone in town	y	n	0	1
518	i usually try to catch whoever in town though i do specifically	i try to catch whoever in town	y	n	0	1
519	i usually try to catch whoever in town though i do specifically	i usually try to catch someone in town	n	y	0	1
520	day care has done a lot for him	day care has done amazing things with him	y	y	1	1
521	day care has just done just incredible stuff with him	day care has done a lot for him	n	y	0	1
522	day care has just done just incredible stuff with him	day care has done amazing things with him	y	y	1	1
523	i was eighth and ninth graders that i worked with	i worked with a number of students	n	y	0	1
524	i was eighth and ninth graders that i worked with	i worked with ninth and eighth graders	n	y	0	1
525	i worked with a number of students	i worked with ninth and eighth graders	n	y	0	1
526	i left high school mature	i was quite mature when i left high school	y	y	1	1
527	in fact i was very mature when i left high school	i left high school mature	y	y	1	1
528	in fact i was very mature when i left high school	i was quite mature when i left high school	y	y	1	1
529	i said he did know what he was doing	i said he knew what he was doing	y	y	1	1
530	like i said he did know what he was doing	i said he did know what he was doing	y	n	0	1
531	like i said he did know what he was doing	i said he knew what he was doing	n	n	1	0
532	silence of the lambs kept me on the edge of my seat	i was on the edge of my seat	n	n	1	0
533	i was on the edge of my seat	the lambs were silent and kept me on the edge of my seat	n	n	1	0
534	silence of the lambs kept me on the edge of my seat	the lambs were silent and kept me on the edge of my seat	n	n	1	0
535	i felt like i missed that in life	i missed it in life	n	n	1	0
536	that one of things i felt like i missed in life	i felt like i missed that in life	y	n	0	1
537	that one of things i felt like i missed in life	i missed it in life	n	n	1	0
538	that way you just did put it on your credit card	it was placed on your credit card	y	n	0	1
539	it was placed on your credit card	you just put it on your credit card	y	n	0	1
540	that way you just did put it on your credit card	you just put it on your credit card	y	y	1	1
541	i think the blue ridge in north carolina is nicer	i think the blue ridge is better in north carolina	y	y	1	1
542	the blue ridge in north carolina i think are much nicer	i think the blue ridge in north carolina is nicer	y	y	1	1
543	the blue ridge in north carolina i think are much nicer	i think the blue ridge is better in north carolina	y	y	1	1
544	the time really to get involved in the organized sort of format	the time to get involved in a format	y	y	1	1
545	the time really to get involved in the organized sort of format	the time to get involved in an organized format	y	y	1	1
546	the time to get involved in a format	the time to get involved in an organized format	y	y	1	1
547	the ten key could hurt me	they could hurt me with their ten key	y	y	1	1
548	they could hurt me with their ten key or something	the ten key could hurt me	n	n	1	0
549	they could hurt me with their ten key or something	they could hurt me with their ten key	y	y	1	1
550	for the companies that already have a presence over there	for the companies that have a presence there	y	y	1	1
551	for the companies that already have a presence over there	the companies that already have a presence over there	y	y	1	1
552	for the companies that have a presence there	the companies that already have a presence over there	n	n	1	0
553	i always kept plenty of money in my checking account	i always kept money in my checking account	n	y	0	1
554	i always kept money in my checking account	i kept a lot of money in my account	n	n	1	0
555	i always kept plenty of money in my checking account	i kept a lot of money in my account	y	n	0	1
556	i even in worse shape because i have eight children	i have a lot of children and i am in worse shape	n	n	1	0
557	i even in worse shape because i have eight children	i have eight children and i in worse shape	y	n	0	1
558	i have a lot of children and i am in worse shape	i have eight children and i in worse shape	n	n	1	0
559	i guess one thing that i found sort of interesting	i find one thing interesting	y	n	0	1
560	i find one thing interesting	one thing i found interesting	n	n	1	0
561	i guess one thing that i found sort of interesting	one thing i found interesting	y	n	0	1
562	i hope you have a good rest of your weekend	i hope you have a peaceful weekend	n	y	0	1
563	i hope you have a good rest of your weekend	i wish you a good weekend	y	n	0	1
564	i hope you have a peaceful weekend	i wish you a good weekend	y	y	1	1
565	i like seeing other countries and shopping in other places	i enjoy seeing other countries and shopping there	y	n	0	1
566	i enjoy seeing other countries and shopping there	i like to shop in other places	n	n	1	0
567	i like seeing other countries and shopping in other places	i like to shop in other places	n	n	1	0
568	i plan on getting back once i graduate next weekend	i going to get back once i graduate	n	n	1	0
569	i going to get back once i graduate	i will return once i graduate next weekend	y	n	0	1
570	i plan on getting back once i graduate next weekend	i will return once i graduate next weekend	y	y	1	1
571	i think the four door is probably a major requirement	i believe the four door is a major requirement	y	y	1	1
572	i believe the four door is a major requirement	the four door is probably the most important	n	n	1	0
573	i think the four door is probably a major requirement	the four door is probably the most important	n	n	1	0
574	it costs more for the bottles than it did for the cokes	it costs more for bottles than it does for cokes	y	y	1	1
575	it costs more for bottles than it does for cokes	the bottles cost more than cokes	y	y	1	1
576	it costs more for the bottles than it did for the cokes	the bottles cost more than cokes	y	y	1	1
577	it sort of takes the justice out of the justice system	it takes the justice away from the system	y	y	1	1
578	it sort of takes the justice out of the justice system	the justice is taken out of the system	n	n	1	0
579	it takes the justice away from the system	the justice is taken out of the system	y	n	0	1
580	are you a native of that part of the country	are you a native of the area	y	y	1	1
581	are you a native of that part of the country	are you native to that part of the country	y	y	1	1
582	are you a native of the area	are you native to that part of the country	y	y	1	1
583	how well that works will be interesting	it will be interesting to see how it goes	y	y	1	1
584	it will be interesting to see how well that works	how well that works will be interesting	y	y	1	1
585	it will be interesting to see how well that works	it will be interesting to see how it goes	y	y	1	1
586	right now i got it narrowed down to the top four teams	i narrowed it down to the top four	n	n	1	0
587	i narrowed it down to the top four	the top four teams are what i have narrowed down	n	n	1	0
588	right now i got it narrowed down to the top four teams	the top four teams are what i have narrowed down	y	y	1	1
589	the place i work at health insurance is kind of expensive	the place i work at is expensive	n	n	1	0
590	the place i work at health insurance is kind of expensive	the place where i work at health insurance is expensive	y	y	1	1
591	the place i work at is expensive	the place where i work at health insurance is expensive	n	n	1	0
592	they know they going to get the chair if they get caught	if they get caught they get the chair	y	y	1	1
593	if they get caught they get the chair	they know they will get the chair if they are caught	n	y	0	1
594	they know they going to get the chair if they get caught	they know they will get the chair if they are caught	y	y	1	1
595	cents out of every dollar i make goes to the government	every dollar i make goes to the government	n	n	1	0
596	cents out of every dollar i make goes to the government	the government gets cents out of each dollar i make	y	y	1	1
597	every dollar i make goes to the government	the government gets cents out of each dollar i make	n	n	1	0
598	this is something that ought to be in the schools	this is something that should be in the schools	y	y	1	1
599	this is something that ought to be in the schools	this needs to be in the schools	y	y	1	1
600	this is something that should be in the schools	this needs to be in the schools	y	n	0	1
601	a case where there was a sort of freak ice storm	a case where there was an ice storm	n	n	1	0
602	a case where there was a sort of freak ice storm	there was a freak ice storm	y	n	0	1
603	a case where there was an ice storm	there was a freak ice storm	n	n	1	0
604	i had to talk about this topic accidentally	this is an accident that i have to talk about	n	n	1	0
605	this is totally accidental that i have to talk about this topic	i had to talk about this topic accidentally	y	y	1	1
606	this is totally accidental that i have to talk about this topic	this is an accident that i have to talk about	n	n	1	0
607	what kind of work do you do when you consulting	what kind of work do you do when you consult	y	y	1	1
608	what kind of work do you do when you consult	what type of work do you do when you are consulting	y	y	1	1
609	what kind of work do you do when you consulting	what type of work do you do when you are consulting	y	y	1	1
610	you have a modem that you can connect to each of them	you have a modem that you can connect to	n	y	0	1
611	you have a modem that you can connect to	you have a modem that you can use for each of them	n	y	0	1
612	you have a modem that you can connect to each of them	you have a modem that you can use for each of them	y	y	1	1
613	we kind of tended to eat out a bit more	we ate a bit more out	y	n	0	1
614	we ate a bit more out	we tend to eat out a bit more	n	n	1	0
615	we kind of tended to eat out a bit more	we tend to eat out a bit more	y	n	0	1
616	we laid those bricks about as close as you can get them	we laid the bricks close to each other	y	y	1	1
617	we laid the bricks close to each other	we laid those bricks as close as possible	n	n	1	0
618	we laid those bricks about as close as you can get them	we laid those bricks as close as possible	y	y	1	1
619	we not talking about issues we talking about somebody personal life	we are talking about personal life	n	n	1	0
620	we are talking about personal life	we talking about personal life	y	y	1	1
621	we not talking about issues we talking about somebody personal life	we talking about personal life	n	n	1	0
622	what kind of plastic stuff can you recycle do you know	what kind of plastic can you recycle	y	y	1	1
623	what kind of plastic can you recycle	what sort of plastic can you recycle	y	y	1	1
624	what kind of plastic stuff can you recycle do you know	what sort of plastic can you recycle	y	y	1	1
625	boy current events is not a good subject for me	current events arent a good subject for me	y	y	1	1
626	boy current events is not a good subject for me	current events dont interest me	n	n	1	0
627	current events arent a good subject for me	current events dont interest me	n	n	1	0
628	i almost never watch television as a matter of course	i almost never watch tv	y	y	1	1
629	i almost never watch television as a matter of course	i mostly never watch television	y	y	1	1
630	i almost never watch tv	i mostly never watch television	y	y	1	1
631	i am thinking about where you can ski over the state line	i am thinking about where you can ski	n	n	1	0
632	i am thinking about where you can ski	where can you ski over the state line	n	n	1	0
633	i am thinking about where you can ski over the state line	where can you ski over the state line	n	n	1	0
634	i guess i take it for granted kind of because i just	i just take it for granted	y	n	0	1
635	i guess i take it for granted kind of because i just	i take it for granted	n	n	1	0
636	i just take it for granted	i take it for granted	y	y	1	1
637	i hope i do see a lot more single moms	i hope i see a lot of single moms	n	n	1	0
638	i hope i do see a lot more single moms	i would like to see more single moms	y	y	1	1
639	i hope i see a lot of single moms	i would like to see more single moms	n	n	1	0
640	i know we have a lot of chemical the indoor type pollution	i am aware of the indoor type pollution	n	y	0	1
641	i am aware of the indoor type pollution	we have a lot of indoor pollution	n	n	1	0
642	i know we have a lot of chemical the indoor type pollution	we have a lot of indoor pollution	n	n	1	0
643	i think we talked for a good eight minutes about the subject	i think we talked for about eight minutes	y	n	0	1
644	i think we talked for a good eight minutes about the subject	we talked for about eight minutes	n	y	0	1
645	i think we talked for about eight minutes	we talked for about eight minutes	y	n	0	1
646	i enjoy having people over for dinner	i like having people over for dinner	y	y	1	1
647	if i have people over for dinner i like it to be	i enjoy having people over for dinner	y	n	0	1
648	if i have people over for dinner i like it to be	i like having people over for dinner	y	n	0	1
649	i just get that if it was level	if it was level i get that	y	y	1	1
650	if it was quite level or something i just get that	i just get that if it was level	y	y	1	1
651	if it was quite level or something i just get that	if it was level i get that	y	n	0	1
652	it looked to me like it was a real submarine	it looked like a real submarine	y	y	1	1
653	it looked like a real submarine	it seemed to me like it was a real submarine	y	y	1	1
654	it looked to me like it was a real submarine	it seemed to me like it was a real submarine	y	y	1	1
655	and studied every bit of material that i could study	i studied every part of the material	n	n	1	0
656	and studied every bit of material that i could study	i studied every piece of material i could	y	y	1	1
657	i studied every part of the material	i studied every piece of material i could	n	n	1	0
658	people go to the countries with them	people would always bring them	n	n	1	0
659	people would always bring them when they go to the countries	people go to the countries with them	y	y	1	1
660	people would always bring them when they go to the countries	people would always bring them	n	n	1	0
661	that is just one of the many rumors	that is one of the many rumors floating around	y	y	1	1
662	that just one of the many rumors that floats around	that is just one of the many rumors	y	y	1	1
663	that just one of the many rumors that floats around	that is one of the many rumors floating around	y	y	1	1
664	that they feel and decide what best for them and their family	they decide whats best for their family	y	y	1	1
665	that they feel and decide what best for them and their family	they decide whats best for them and their family	y	n	0	1
666	they decide whats best for their family	they decide whats best for them and their family	n	y	0	1
667	the only thing i know that you can recycle is milk jugs	milk jugs can be recycled	n	n	1	0
668	milk jugs can be recycled	you can recycle milk jugs	y	y	1	1
669	the only thing i know that you can recycle is milk jugs	you can recycle milk jugs	y	n	0	1
670	if you run into one its quite a task	its quite a task if you run into one	y	y	1	1
671	there quite a task if you ever run into one	if you run into one its quite a task	y	y	1	1
672	there quite a task if you ever run into one	its quite a task if you run into one	y	y	1	1
673	we have a lot of allergies	we have a lot of allergies down here	n	n	1	0
674	we having a lot of allergies down here right now	we have a lot of allergies	n	n	1	0
675	we having a lot of allergies down here right now	we have a lot of allergies down here	n	n	1	0
676	check it over real carefully and check the block and everything	carefully inspect the block and everything	y	n	0	1
677	carefully inspect the block and everything	make sure to check the block and everything	y	y	1	1
678	check it over real carefully and check the block and everything	make sure to check the block and everything	y	n	0	1
679	whatever kind of community or public service might be available	whatever kind of public service might be available	n	n	1	0
680	whatever kind of community or public service might be available	whatever kind of service is available	n	y	0	1
681	whatever kind of public service might be available	whatever kind of service is available	n	n	1	0
682	you need somebody to kind of tell you what to do	somebody can tell you what to do	n	n	1	0
683	somebody can tell you what to do	you need someone to tell you what to do	n	n	1	0
684	you need somebody to kind of tell you what to do	you need someone to tell you what to do	y	n	0	1
685	did you embroidery the pattern and then quilt it yourself	did you make your own quilt from the pattern	n	n	1	0
686	did you embroidery the pattern and then quilt it yourself	did you quilt it yourself	n	n	1	0
687	did you make your own quilt from the pattern	did you quilt it yourself	n	n	1	0
688	i do think i ever seen them not look happy	i have seen them not look happy	n	n	1	0
689	i do think i ever seen them not look happy	i think they are not happy	n	n	1	0
690	i have seen them not look happy	i think they are not happy	y	n	0	1
691	even though there are problems i feel lucky	i feel fortunate in that even though there are some problems	y	n	0	1
692	i really feel fortunate in that there even though there are problems	even though there are problems i feel lucky	y	y	1	1
693	i really feel fortunate in that there even though there are problems	i feel fortunate in that even though there are some problems	y	y	1	1
694	i think he gets beat up even though he big because he	i think he gets beat up	n	n	1	0
695	i think he gets beat up	i think he gets beat up even though he is big	n	n	1	0
696	i think he gets beat up even though he big because he	i think he gets beat up even though he is big	y	n	0	1
697	i thought at one time i wanted to be a teacher	at one point i wanted to be a teacher	y	n	0	1
698	at one point i wanted to be a teacher	i wanted to be a teacher at one time	y	y	1	1
699	i thought at one time i wanted to be a teacher	i wanted to be a teacher at one time	y	n	0	1
700	i was even looking for a car when i bought this car	i was looking for a car when i bought this one	y	y	1	1
701	i was even looking for a car when i bought this car	when i bought this car i was looking for a new vehicle	y	y	1	1
702	i was looking for a car when i bought this one	when i bought this car i was looking for a new vehicle	y	y	1	1
703	in fact they never thought it would be a hit	they never expected it to be a hit	y	y	1	1
704	in fact they never thought it would be a hit	they never imagined it would be a hit	y	y	1	1
705	they never expected it to be a hit	they never imagined it would be a hit	y	y	1	1
706	it supposed to be a huge problem with truck drivers using drugs	drug use by truck drivers should be a huge problem	y	n	0	1
707	drug use by truck drivers should be a huge problem	its supposed to be a big problem with truck drivers	y	n	0	1
708	it supposed to be a huge problem with truck drivers using drugs	its supposed to be a big problem with truck drivers	n	n	1	0
709	it was a nice part of the country	it was a nice part of the country and relaxing	n	n	1	0
710	it was so relaxing and a really neat part of the country	it was a nice part of the country	n	n	1	0
711	it was so relaxing and a really neat part of the country	it was a nice part of the country and relaxing	y	n	0	1
712	not like texas where everything comes to a stand still	not like texas where everything comes to a stand	y	y	1	1
713	not like texas where everything comes to a stand	not like texas where you have to stand still	n	n	1	0
714	not like texas where everything comes to a stand still	not like texas where you have to stand still	n	n	1	0
715	it was put on credit cards	she put it on her credit cards	y	n	0	1
716	sort of reluctantly let her put it on credit cards	it was put on credit cards	n	n	1	0
717	sort of reluctantly let her put it on credit cards	she put it on her credit cards	n	n	1	0
718	the places we gone they sing in the original languages	they sing in the original languages	n	n	1	0
719	the places we gone they sing in the original languages	they sing in the original languages where we went	y	y	1	1
720	they sing in the original languages	they sing in the original languages where we went	n	n	1	0
721	a lot of body heat will be taken away by wind	the wind takes away body heat	y	n	0	1
722	the wind will take away a lot of body heat	a lot of body heat will be taken away by wind	y	y	1	1
723	the wind will take away a lot of body heat	the wind takes away body heat	y	n	0	1
724	they did special stories on the local news	they did stories on the local news	n	n	1	0
725	they done special stories on the news local news here	they did special stories on the local news	y	n	0	1
726	they done special stories on the news local news here	they did stories on the local news	n	n	1	0
727	i want to make my telephone cord stretch far enough	if i can stretch my phone cord far enough	n	n	1	0
728	see if i can make my telephone cord stretch far enough	i want to make my telephone cord stretch far enough	y	n	0	1
729	see if i can make my telephone cord stretch far enough	if i can stretch my phone cord far enough	n	n	1	0
730	it took all day to get it plumbed	it was an all day job to get it plumbed	y	y	1	1
731	that was an all day job just to get it plumbed	it took all day to get it plumbed	y	n	0	1
732	that was an all day job just to get it plumbed	it was an all day job to get it plumbed	y	y	1	1
733	they really looking for a lot more men to participate	they need more men to participate	n	n	1	0
734	they need more men to participate	they want a lot more men to participate	y	y	1	1
735	they really looking for a lot more men to participate	they want a lot more men to participate	y	n	0	1
736	they were given seven minutes	we gave them about seven minutes	y	n	0	1
737	we given them about seven minutes according to my watch	they were given seven minutes	y	n	0	1
738	we given them about seven minutes according to my watch	we gave them about seven minutes	n	n	1	0
739	what he going to be doing when he turns into an adult	when he becomes an adult what will he do	y	y	1	1
740	what he going to be doing when he turns into an adult	when he turns into an adult what will he do	y	y	1	1
741	when he becomes an adult what will he do	when he turns into an adult what will he do	y	y	1	1
742	when you see all these horror stories on television about child care	there are horror stories about child care	n	n	1	0
743	there are horror stories about child care	when you see horror stories about child care	y	n	0	1
744	when you see all these horror stories on television about child care	when you see horror stories about child care	n	n	1	0
745	will they let you take a computer home to work	will they allow you to take a computer home to work	y	y	1	1
746	will they allow you to take a computer home to work	will you be allowed to take a computer home to use	n	y	0	1
747	will they let you take a computer home to work	will you be allowed to take a computer home to use	n	y	0	1
748	do you feel a bit out of it	do you feel a little bit out of it	y	y	1	1
749	you feel like you a little bit out of it do you	do you feel a bit out of it	y	n	0	1
750	you feel like you a little bit out of it do you	do you feel a little bit out of it	y	n	0	1
751	do you like to wear jeans most of the time	do you enjoy wearing jeans most of the time	y	y	1	1
752	do you enjoy wearing jeans most of the time	do you like wearing jeans most of the time	y	y	1	1
753	do you like to wear jeans most of the time	do you like wearing jeans most of the time	y	y	1	1
754	have been doing much of that for the last year or so	i have been doing that for the last year or so	y	n	0	1
755	have been doing much of that for the last year or so	over the last year or so i have been doing that	y	n	0	1
756	i have been doing that for the last year or so	over the last year or so i have been doing that	y	y	1	1
757	i buy a lot of wood working equipment through the mail	i buy a lot of wood working equipment through mail	y	y	1	1
758	i buy a lot of wood working equipment through mail	i get a lot of wood working equipment through mail	n	y	0	1
759	i buy a lot of wood working equipment through the mail	i get a lot of wood working equipment through mail	n	y	0	1
760	i could have asked for anything better i do think	i could have asked for more	n	n	1	0
761	i could have asked for anything better i do think	i think i could have asked for better	y	n	0	1
